CountyID,CountyName,GeoID,FipsCode,FundingC1,FundingOcap,C1LeadNurseRegion,C1LeadNurseName,Urban,LabelLongitude,LabelLatitude,MiechvEvaluation,MiechvFormula
28,Greer,40055,55,0,0,14,Atchley,0,-99.5593444200064,34.9427664878966,0,0
29,Harmon,40057,57,0,0,14,Atchley,0,-99.8462629867067,34.7474029014696,0,0
30,Harper,40059,59,0,0,2,Terry,0,-99.6718629310338,36.7775045477641,0,0
31,Haskell,40061,61,0,0,13,Rowan,0,-95.1194074966018,35.2553093637869,0,0
32,Hughes,40063,63,1,0,16,Switch,0,-96.2384521145052,35.0526183366767,0,0
33,Jackson,40065,65,1,0,14,Atchley,0,-99.4153765114804,34.5917941766762,0,0
34,Jefferson,40067,67,0,0,12,Pruitt,0,-97.8233420069576,34.1110896977992,0,0
35,Johnston,40069,69,1,0,12,Pruitt,0,-96.6493986247792,34.3187259845145,0,0
36,Kay,40071,71,1,0,3,Hall,0,-97.1487308209393,36.8197603838225,0,1
37,Kingfisher,40073,73,1,0,1,Ball,0,-97.9367093480735,35.934131116842,0,0
38,Kiowa,40075,75,0,0,17,Hedrick,0,-98.9722460102744,34.9187670789366,0,0
39,Latimer,40077,77,0,0,8,Lacy,0,-95.2557710119632,34.9067885471894,0,0
40,Le Flore,40079,79,1,0,8,Lacy,0,-94.7111774971803,34.9299511687652,0,0
41,Lincoln,40081,81,1,0,1,Ball,0,-96.8794645451841,35.69193772589,0,0
42,Logan,40083,83,1,0,1,Ball,0,-97.4379547025155,35.9055803786812,0,0
43,Love,40085,85,0,0,12,Pruitt,0,-97.2337960481928,34.0006399600389,0,0
44,McClain,40093,93,0,0,7,Jewell,0,-97.4331745941108,35.0031201393918,0,0
45,McCurtain,40095,95,1,0,6,Payne,0,-94.7840344331028,34.1452341840507,0,0
46,McIntosh,40097,97,1,0,13,Rowan,0,-95.6644800921539,35.398840067242,0,0
47,Major,40087,87,0,0,15,Smith,0,-98.524560069483,36.3106916876361,0,0
48,Marshall,40089,89,1,0,12,Pruitt,0,-96.7563551232226,34.0264118585759,0,0
49,Mayes,40091,91,1,0,18,Wilson,0,-95.2377239906663,36.3337424158728,0,0
50,Murray,40099,99,1,0,9,Long,0,-97.0572913816591,34.4888457946869,0,0
51,Muskogee,40101,101,1,0,11,Hitchye,0,-95.3855658011359,35.6427027662025,1,0
52,Noble,40103,103,0,0,3,Hall,0,-97.2279763724569,36.3855065817112,0,0
53,Nowata,40105,105,0,0,5,Carroll,0,-95.6260913238725,36.8198423472456,0,0
54,Okfuskee,40107,107,0,0,16,Switch,0,-96.3097295106855,35.4641810903221,0,0
55,Oklahoma,40109,109,1,0,19,OKAgency,1,-97.4049770992058,35.5394523331614,1,0
56,Okmulgee,40111,111,1,0,13,Rowan,0,-95.9607718994239,35.6570209142237,0,0
57,Osage,40113,113,0,0,5,Carroll,0,-96.4045798127983,36.634052844886,0,0
58,Ottawa,40115,115,1,0,18,Wilson,0,-94.8180540321859,36.8552992868479,0,0
59,Pawnee,40117,117,1,0,3,Hall,0,-96.6990049468818,36.3168088803122,0,0
60,Payne,40119,119,1,0,3,Hall,0,-96.9751478239377,36.0693458141458,0,0
61,Pittsburg,40121,121,1,0,4,Haworth,0,-95.7439797251411,34.9488015969789,0,0
62,Pontotoc,40123,123,1,0,4,Haworth,0,-96.674562329413,34.7307576005793,0,0
63,Pottawatomie,40125,125,1,0,16,Switch,0,-96.9445206954569,35.3015638806384,0,0
64,Pushmataha,40127,127,0,0,6,Payne,0,-95.3842741209906,34.4497873058268,0,0
65,Roger Mills,40129,129,0,0,14,Atchley,0,-99.6999273109391,35.6831343827393,0,0
66,Rogers,40131,131,1,0,5,Carroll,0,-95.6121330018314,36.3979046759883,0,0
67,Seminole,40133,133,1,0,16,Switch,0,-96.6001413613621,35.1681506005071,0,0
68,Sequoyah,40135,135,1,0,11,Hitchye,0,-94.760490800755,35.5205440172208,0,0
69,Stephens,40137,137,1,0,9,Long,0,-97.8463715950095,34.4843230918468,0,0
70,Texas,40139,139,1,0,2,Terry,0,-101.477803361668,36.7450721534074,0,0
71,Tillman,40141,141,0,0,14,Atchley,0,-98.921205231615,34.3753490926514,0,0
72,Tulsa,40143,143,1,0,20,TulsaAgency,1,-95.9428049690609,36.1338366907781,1,0
73,Wagoner,40145,145,1,0,11,Hitchye,0,-95.5384179113774,35.9858739766272,0,0
74,Washington,40147,147,1,0,5,Carroll,0,-95.9132782566878,36.7270298442834,0,0
75,Washita,40149,149,0,0,10,Mutzig,0,-98.9917075036666,35.2907305029854,0,0
76,Woods,40151,151,0,0,2,Terry,0,-98.8729461327617,36.7708675261212,0,0
77,Woodward,40153,153,1,0,2,Terry,0,-99.260005758032,36.416401211778,0,0
